algo,variant,mean,std,count,mean_std,scenario
happo,BASELINE,0.8838440219087562,0.0059237948920669165,5,0.884 ± 0.006,baseline
hatrpo,BASELINE,0.7410545468287528,0.03223604246985987,5,0.741 ± 0.032,baseline
ia2c,BASELINE,0.7617284429776922,0.001991294627342434,5,0.762 ± 0.002,baseline
ippo,BASELINE,0.8879919409905643,0.0,5,0.888 ± 0.0,baseline
itrpo,BASELINE,0.7328990580756898,0.0,5,0.733 ± 0.0,baseline
maa2c,BASELINE,0.7455633077349771,0.0029326280915149454,5,0.746 ± 0.003,baseline
mappo,BASELINE,0.8632874589559115,0.0,5,0.863 ± 0.0,baseline
matrpo,BASELINE,0.7159496608768102,0.0,5,0.716 ± 0.0,baseline
happo,TIMESFM,0.17466913534412581,0.008519448916615751,5,0.175 ± 0.009,timesfm
hatrpo,TIMESFM,0.807586090850295,0.029727038632639466,5,0.808 ± 0.03,timesfm
ia2c,TIMESFM,0.811289432869717,0.0011480251692965661,5,0.811 ± 0.001,timesfm
ippo,TIMESFM,0.7937793488591587,0.0,5,0.794 ± 0.0,timesfm
itrpo,TIMESFM,0.8113825364619449,0.02554085025920709,5,0.811 ± 0.026,timesfm
maa2c,TIMESFM,0.8049579708520078,0.0004405005088226833,5,0.805 ± 0.0,timesfm
mappo,TIMESFM,0.8253230844989833,0.0,5,0.825 ± 0.0,timesfm
matrpo,TIMESFM,0.8574501295476418,0.0,5,0.857 ± 0.0,timesfm
happo,TIMESFM,0.3472062210704244,0.00036883926969921217,5,0.347 ± 0.0,timesfm_Prev3
hatrpo,TIMESFM,0.8428252074967189,0.0025594600061539428,5,0.843 ± 0.003,timesfm_Prev3
ia2c,TIMESFM,0.851996833804644,0.006145893214233041,5,0.852 ± 0.006,timesfm_Prev3
ippo,TIMESFM,0.8303631987195166,0.0,5,0.83 ± 0.0,timesfm_Prev3
itrpo,TIMESFM,0.8449532798523969,0.0,5,0.845 ± 0.0,timesfm_Prev3
maa2c,TIMESFM,0.8491663574701216,0.004043021125079236,5,0.849 ± 0.004,timesfm_Prev3
mappo,TIMESFM,0.8276686286277066,0.0,5,0.828 ± 0.0,timesfm_Prev3
